pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEHR300021,12,0,2002,GURINDER SINGH KAIRON,,Punjab,TARN TARAN,GEN,INC,,14204,M,3,1,FALSE,FALSE,18.1,9001,11.47,,,,1
AEHR9518,12,0,2002,MANGAT RAI,,Punjab,BUDHLADA,GEN,BSP,,18306,M,3,1,FALSE,FALSE,18.6,15573,15.82,,,,1
AEPB100217,11,1,1999,Rakesh Pandey,,Punjab,LUDHIANANORTH,GEN,INC,,27770,M,1,2,FALSE,FALSE,54.26,9094,17.77,,,2,2
AEPB100217,12,0,2002,RAKESH PANDEY,,Punjab,LUDHIANA NORTH,GEN,INC,INC,39167,M,1,2,FALSE,TRUE,61.07,22872,35.66,,,2,2
AEPB100227,11,1,2001,Swinder Singh,,Punjab,MAJITHA,GEN,INC,,34136,M,2,2,FALSE,FALSE,38.9,32930,37.52,,,1,2
AEPB100227,12,0,2002,SWINDER SINGH,,Punjab,MAJITHA,GEN,INC,INC,41072,M,1,2,FALSE,FALSE,49.4,2198,2.64,,,1,2
AEPB100231,12,1,2004,SUKHJINDER KAUR,,Punjab,Kapurthala,GEN,INC,,47890,,1,1,FALSE,FALSE,56.17,13290,15.59,,,1,1
AEPB100233,12,1,2004,TARSEM SINGH,,Punjab,Kapurthala,GEN,BSP,,1003,,3,1,FALSE,FALSE,1.18,448,0.53,,,,1
AEPB100242,12,1,2004,LOV KUMAR GOLDI,,Punjab,Garshankar,GEN,INC,,37378,,1,1,FALSE,FALSE,47.47,18080,22.96,,,1,1
AEPB100243,12,1,2004,MOHINDER PAL MANN,,Punjab,Garshankar,GEN,BJP,,19298,,2,1,FALSE,FALSE,24.51,10169,12.92,,,,1
AEPB100244,12,1,2004,MAHAN SINGH,,Punjab,Garshankar,GEN,CPM,,9129,,3,1,FALSE,FALSE,11.59,3140,3.99,,,,1
AEPB100246,12,1,2004,RASHPAL SINGH RAJU,,Punjab,Garshankar,GEN,BSP,,4139,,5,1,FALSE,FALSE,5.26,3374,4.29,,,,1
AEPB100248,12,1,2004,GURDEV RAM,,Punjab,Garshankar,GEN,LJNSP,,754,,7,1,FALSE,FALSE,0.96,267,0.34,,,,1
AEPB100254,12,1,2005,AMARPAL SINGH AJNALA,,Punjab,Ajnala,GEN,SAD,,47415,M,2,1,FALSE,FALSE,40.45,45848,39.11,,,,1
AEPB1362,4,0,1967,P. SINGH,,Punjab,GIDDER BAHA,GEN,ADS,,21635,M,2,8,FALSE,FALSE,47.15,20288,44.22,,,7,8
AEPB1362,5,0,1969,PARKASH SINGH,,Punjab,GIDDAR BAHA,GEN,SAD,ADS,30625,M,1,8,TRUE,FALSE,60.88,11207,22.28,,,7,8
AEPB1362,6,0,1972,PARKASH SINGH,,Punjab,GIDDAR BAHA,GEN,SAD,SAD,30557,M,1,8,FALSE,TRUE,57.98,9311,17.67,,,7,8
AEPB1362,7,0,1977,PARKASH SINGH,,Punjab,GIDDAR BAHA,GEN,SAD,SAD,34797,M,1,8,FALSE,TRUE,62.78,14163,25.55,,,7,8
AEPB1362,8,0,1980,PARKSAH SINGH,,Punjab,GIDDAR BAHA,GEN,SAD,SAD,38611,M,1,8,FALSE,TRUE,57.92,10683,16.02,,,7,8
AEPB1362,9,0,1985,PARKASH SINGH,,Punjab,GIDDAR BAHA,GEN,SAD,SAD,36438,M,1,8,FALSE,TRUE,54.57,9265,13.88,,,7,8
AEPB1362,11,0,1997,PARKASH SINGH BADAL,,Punjab,LAMBI,GEN,SAD,SAD,52963,M,1,8,FALSE,FALSE,57.32,28728,31.09,,,7,8
AEPB1362,12,0,2002,PARKASH SINGH BADAL,,Punjab,LAMBI,GEN,SAD,SAD,50545,M,1,8,FALSE,TRUE,54.21,23929,25.67,,,7,8
