pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEGA82273,4,0,1980,NAIK RAVI SITARAM,,Goa_Daman_&_Diu,PONDA,GEN,MAG,,6009,M,2,1,FALSE,FALSE,42.84,5391,38.44,,,,1
AEGA82957,3,0,1977,SHAIKH HASSAN HAROON,,Goa_Daman_&_Diu,MORMUGAO,GEN,INC,,3256,M,1,2,FALSE,FALSE,38.62,641,7.6,,,2,2
AEGA82957,4,0,1980,SHAIKH HASSAN HAROON,,Goa_Daman_&_Diu,MORMUGAO,GEN,INC(U),INC,4018,M,1,2,TRUE,TRUE,45.49,679,7.69,,,2,2
AEGA83040,4,0,1980,GAUNS DESSAI VAIKUNT GOVIND,,Goa_Daman_&_Diu,QUEPEM,GEN,INC(U),,7073,M,1,1,FALSE,FALSE,56.29,2599,20.68,,,1,1
AEGA83086,3,0,1977,SHIRSAT SURENDRA VASANT,,Goa_Daman_&_Diu,MAPUSA,GEN,MAG,,5229,M,1,2,FALSE,FALSE,43.26,1666,13.78,,,1,2
AEGA83086,4,0,1980,SIRSAT SURENDRA VASANT,,Goa_Daman_&_Diu,MAPUSA,GEN,MAG,MAG,5559,M,2,2,FALSE,TRUE,41.19,4702,34.84,,,1,2
AEGA83144,4,0,1980,PRABHU ZANTYE HARISH NARAYAN,,Goa_Daman_&_Diu,BICHOLIM,GEN,IND,,8354,M,1,1,FALSE,FALSE,58.28,2373,16.55,,,1,1
AEGA83285,3,0,1977,MANDREKAR DEU GUNAJI,,Goa_Daman_&_Diu,PERNEM,SC,MAG,,3978,M,1,2,FALSE,FALSE,50.3,1988,25.14,,,2,2
AEGA83285,4,0,1980,MANDREKAR DEU GUNAJI,,Goa_Daman_&_Diu,PERNEM,SC,MAG,MAG,4701,M,1,2,FALSE,TRUE,51.95,2411,26.64,,,2,2
AEGA83412,2,0,1972,RANE JAISINGRAO VENKATRAO,,Goa_Daman_&_Diu,SATARI,GEN,SOP,,2322,M,2,3,FALSE,FALSE,24.04,1152,11.93,,,,3
AEGA83412,3,0,1977,RANE JAYSINGRAO VENKATRAO,,Goa_Daman_&_Diu,SATARI,GEN,MAG,SOP,2973,M,2,3,TRUE,FALSE,30.37,1621,16.56,,,,3
AEGA83412,4,0,1980,RANE JAYSINGRAO BENKATRAO,,Goa_Daman_&_Diu,SATARI,GEN,JNP,MAG,2038,M,3,3,TRUE,FALSE,17.25,1077,9.12,,,,3
AEGA83584,3,0,1977,KHALAP RAMAKANT DATTARAM,,Goa_Daman_&_Diu,MANDREM,GEN,MAG,,5394,M,1,2,FALSE,FALSE,56.64,2019,21.2,,,2,2
AEGA83584,4,0,1980,KHALAP RAMAKANT DATTARAM,,Goa_Daman_&_Diu,MANDREM,GEN,MAG,MAG,5703,M,1,2,FALSE,TRUE,50.73,402,3.58,,,2,2
AEGA83601,3,0,1977,NIPANIKAR BALARAM VISHNU,,Goa_Daman_&_Diu,PERNEM,SC,IND,,156,M,5,2,FALSE,FALSE,1.97,76,0.96,,,,2
AEGA83601,4,0,1980,NIPANIKAR BALARAM VISHNU,,Goa_Daman_&_Diu,PERNEM,SC,IND,IND,542,M,4,2,FALSE,FALSE,5.99,144,1.59,,,,2
AEGA83632,4,0,1980,DE SOUZA WILFRED TITO FERMINO,,Goa_Daman_&_Diu,CALANGUTE,GEN,INC(U),,6920,M,1,1,FALSE,FALSE,51.01,1414,10.42,,,1,1
AEGA83633,1,0,1967,A . P . PANDURANG,,Goa_Daman_&_Diu,SIOLIM,GEN,MAG,,5175,M,1,4,FALSE,FALSE,50.35,619,6.02,,,2,4
