pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAS186801,14,0,2016,KRISHNENDU PAUL,GEN,Assam,PATHARKANDI,GEN,BJP,,46544,M,1,2,FALSE,FALSE,37.94,9268,7.55,42,,2,2
AEAS186801,15,0,2021,KRISHNENDU PAUL,,Assam,PATHARKANDI,GEN,BHARATIYA JANATA PARTY,BJP,74846,M,1,2,FALSE,TRUE,49.66,4467,2.96,47,,2,2
AEAS186814,14,0,2016,SAHABUL ISLAM CHOUDHURY,GEN,Assam,KARIMGANJ NORTH,GEN,AIUDF,,34207,M,3,2,FALSE,FALSE,26.16,32503,24.85,47,,,2
AEAS186814,15,0,2021,SAHABUL ISLAM CHOUDHURY,,Assam,KARIMGANJ NORTH,GEN,INDEPENDENT,AIUDF,28044,M,3,2,FALSE,FALSE,19.11,26864,18.31,52,,,2
AEAS186827,14,0,2016,AZIZ AHMED KHAN,GEN,Assam,KARIMGANJ SOUTH,GEN,AIUDF,,58060,M,1,2,FALSE,FALSE,45.2,4416,3.44,38,,1,2
AEAS186827,15,0,2021,AZIZ AHMED KHAN,,Assam,KARIMGANJ SOUTH,GEN,ASOM GANA PARISHAD,AIUDF,56422,M,2,2,TRUE,TRUE,37.54,55255,36.77,42,,1,2
AEAS186835,14,0,2016,SUFIAN AHMED,GEN,Assam,KARIMGANJ SOUTH,GEN,IND,,264,M,9,2,FALSE,FALSE,0.21,22,0.02,44,,,2
AEAS186835,15,0,2021,SUFIAN AHMED,,Assam,KARIMGANJ SOUTH,GEN,INDEPENDENT,IND,516,M,6,2,FALSE,FALSE,0.34,219,0.15,60,,,2
AEAS186853,14,0,2016,ABDUL AZIZ,GEN,Assam,BADARPUR,GEN,AIUDF,,36178,M,2,2,FALSE,FALSE,32.15,484,0.43,48,,1,2
AEAS186853,15,0,2021,ABDUL AZIZ,,Assam,BADARPUR,GEN,ALL INDIA UNITED DEMOCRATIC FRONT,AIUDF,74452,M,1,2,FALSE,FALSE,56.62,23948,18.21,52,,1,2
AEAS186858,14,0,2016,OLIOUR RAHAMAN TAPADAR,GEN,Assam,BADARPUR,GEN,IND,,168,M,8,2,FALSE,FALSE,0.15,21,0.02,43,,,2
AEAS186858,15,0,2021,OLIOUR RAHAMAN TAPADAR,,Assam,BADARPUR,GEN,INDEPENDENT,IND,72,M,15,2,FALSE,FALSE,0.05,0,0,48,,,2
AEAS186860,14,0,2016,ABDUS SUKKUR BEIG,GEN,Assam,BADARPUR,GEN,IND,,142,M,10,2,FALSE,FALSE,0.13,10,0.01,41,,,2
AEAS186860,15,0,2021,ABDUS SUKKUR BEIG,,Assam,BADARPUR,GEN,INDEPENDENT,IND,78,M,14,2,FALSE,FALSE,0.06,6,0,44,,,2
AEAS186866,14,0,2016,ZAKIR HUSSAIN LASKAR,GEN,Assam,HAILAKANDI,GEN,IND,,15633,M,3,2,FALSE,FALSE,13.84,6346,5.62,45,,1,2
AEAS186866,15,0,2021,ZAKIR HUSSAIN LASKAR,,Assam,HAILAKANDI,GEN,ALL INDIA UNITED DEMOCRATIC FRONT,IND,71057,M,1,2,FALSE,FALSE,55.15,23754,18.44,50,,1,2
AEAS186882,14,0,2016,ABUL HUSSAIN BARBHUIYA,GEN,Assam,HAILAKANDI,GEN,IND,,176,M,20,2,FALSE,FALSE,0.16,13,0.01,28,,,2
AEAS186882,15,0,2021,ABUL HUSSAIN BARBHUIYA,,Assam,HAILAKANDI,GEN,INDEPENDENT,IND,84,M,13,2,FALSE,FALSE,0.07,0,0,33,,,2
AEAS186891,11,0,2001,SUZAM UDDIN LASKAR,,Assam,KATLICHERRA,GEN,IND,,10891,M,4,3,FALSE,FALSE,12.51,10599,12.18,,,2,3
AEAS186891,14,0,2016,SUZAM UDDIN LASKAR,GEN,Assam,KATLICHERRA,GEN,AIUDF,IND,50676,M,1,3,FALSE,FALSE,40.6,15084,12.08,49,,2,3
AEAS186891,15,0,2021,SUZAM UDDIN LASKAR,,Assam,KATLICHERRA,GEN,ALL INDIA UNITED DEMOCRATIC FRONT,AIUDF,79769,M,1,3,FALSE,TRUE,51.83,12971,8.43,53,,2,3
AEAS186900,14,0,2016,NIZAM UDDIN CHOUDHURY,GEN,Assam,ALGAPUR,GEN,AIUDF,,50531,M,1,2,FALSE,FALSE,42.32,17754,14.87,43,,2,2
AEAS186900,15,0,2021,Nijam Uddin Choudhury,,Assam,ALGAPUR,GEN,ALL INDIA UNITED DEMOCRATIC FRONT,AIUDF,66785,M,1,2,FALSE,TRUE,49.46,17604,13.04,47,,2,2
AEAS186901,14,0,2016,KAUSHIK RAI,GEN,Assam,ALGAPUR,GEN,BJP,,32777,M,2,2,FALSE,FALSE,27.45,6850,5.74,39,,1,2
AEAS186901,15,0,2021,Kaushik Rai,,Assam,LAKHIPUR,GEN,BHARATIYA JANATA PARTY,BJP,55341,M,1,2,FALSE,FALSE,44.61,12700,10.24,44,,1,2
AEAS186906,14,0,2016,RAJU DAS,GEN,Assam,ALGAPUR,GEN,IND,,475,M,8,2,FALSE,FALSE,0.4,0,0,40,,,2
AEAS186906,15,0,2021,Raju Das,,Assam,ALGAPUR,GEN,INDEPENDENT,IND,760,M,8,2,FALSE,FALSE,0.56,126,0.09,45,,,2
AEAS186908,14,0,2016,SAMIN AHMED CHOUDHURY,GEN,Assam,ALGAPUR,GEN,IND,,461,M,10,2,FALSE,FALSE,0.39,201,0.17,34,,,2
AEAS186908,15,0,2021,Samin Ahmed Choudhury,,Assam,ALGAPUR,GEN,INDEPENDENT,IND,634,M,9,2,FALSE,FALSE,0.47,40,0.03,38,,,2
AEAS186910,14,0,2016,IMADUL ISLAM LASKAR,GEN,Assam,ALGAPUR,GEN,IND,,229,M,12,2,FALSE,FALSE,0.19,7,0.01,42,,,2
AEAS186910,15,0,2021,Imadul Islam Laskar,,Assam,ALGAPUR,GEN,INDEPENDENT,IND,95,M,20,2,FALSE,FALSE,0.07,0,0,47,,,2
AEAS186922,13,1,2014,Biju Chanda,,Assam,SILCHAR,GEN,IND,,173,M,9,3,FALSE,FALSE,0.13,25,0.02,,,,3
AEAS186922,14,0,2016,BIJU CHANDA,GEN,Assam,SILCHAR,GEN,IND,IND,318,M,10,3,FALSE,FALSE,0.2,48,0.03,35,,,3
